ID,G3E_FID,CD_SSDW,DEVICE_TYPE,CD_SSXL,NODE1_ID,NODE2_ID
10876,20632097,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10803575,0
9871,19584038,望牛墩供电分局,避雷器,万江F18望牛墩线,10422173,0
10877,20632093,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10803554,10803555
9867,19584026,望牛墩供电分局,10kV导线,万江F18望牛墩线,10422332,10422186
9866,19584025,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,11458996,10422332
9868,19584030,望牛墩供电分局,10kV开关,万江F18望牛墩线,10422170,10422171
9870,19584032,望牛墩供电分局,变压器,万江F18望牛墩线,10422171,0
9869,19584031,望牛墩供电分局,10kV开关,万江F18望牛墩线,10422335,10422170
8770,19458405,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10350248,10348750
8771,19458406,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10350291,10348755
8769,19458403,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10350286,0
8767,19458401,望牛墩供电分局,10kV开关,万江F18望牛墩线,10350290,10350291
8768,19458402,望牛墩供电分局,10kV开关,万江F18望牛墩线,10350301,10350302
2426,11977408,望牛墩供电分局,站房电缆头,万江F18望牛墩线,7880107,0
2427,11977409,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8149220,7880106
8774,19458409,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10350286,0
8772,19458407,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10350302,0
8773,19458408,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10348750,0
8766,19458400,望牛墩供电分局,10kV开关,万江F18望牛墩线,10350284,10350286
2421,11977292,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8149211,8149220
2422,11977403,望牛墩供电分局,站房母线,万江F18望牛墩线,8149239,8149239
2420,11977169,望牛墩供电分局,站房引线,万江F18望牛墩线,8149201,8149209
2418,11971636,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,7878135,0
2419,11982985,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8149076,8149105
8764,19458398,望牛墩供电分局,站房母线,万江F18望牛墩线,10350250,10350250
8765,19458399,望牛墩供电分局,10kV开关,万江F18望牛墩线,10348750,10350249
2425,11977406,望牛墩供电分局,10kV开关,万江F18望牛墩线,9145537,7880108
2423,11977404,望牛墩供电分局,10kV开关,万江F18望牛墩线,7880106,9145535
2424,11977405,望牛墩供电分局,10kV开关,万江F18望牛墩线,9145536,7880107
2327,11977131,望牛墩供电分局,站房引线,万江F18望牛墩线,8149199,8149201
2328,11989512,望牛墩供电分局,10kV导线,万江F18望牛墩线,7883863,8148456
2326,11977094,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,7880011,0
2324,11977091,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8149209,8149211
2325,11977093,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,7880010,0
10682,20632775,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,10803565,10803566
10707,20632737,望牛墩供电分局,10kV导线,万江F18望牛墩线,10803571,10803572
10681,20632771,望牛墩供电分局,10kV导线,万江F18望牛墩线,10803566,10803567
2329,11988078,望牛墩供电分局,10kV电缆中间接头,万江F18望牛墩线,0,0
2330,11988096,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148309,8148317
2323,11977090,望牛墩供电分局,站房电缆头,万江F18望牛墩线,7880011,7880014
2318,11977083,望牛墩供电分局,站房母线,万江F18望牛墩线,8149201,8149201
2319,11977085,望牛墩供电分局,10kV开关,万江F18望牛墩线,9145511,7880010
2317,11976983,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148984,8123080
